alpha,batch_size,cuda_id,data_dir,data_name,emb_size,lr,model,multi_relation,no_cuda,num_epochs,optimizer,rho,save_dir,seed,test_ratio,thres,train_ratio,valid_epochs,weight_decay,Configuration,F1-Macro,F1-1,F1-0,AUC,G-Mean
2,256,2,./data/,AlibabaLoan,32,0.002,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0003,50,0.16,0.32,0.0,0.6560911401597675,0.0
2,256,2,./data/,AlibabaLoan,64,0.002,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0003,51,0.17747932097875896,0.3167420814479638,0.03821656050955414,0.6512799564270153,0.13806947826325233
2,256,2,./data/,AlibabaLoan,32,0.003,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0003,52,0.16,0.32,0.0,0.6543663761801017,0.0
2,256,2,./data/,AlibabaLoan,64,0.003,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0003,53,0.15625,0.3125,0.0,0.6511891793754538,0.0
2,256,2,./data/,AlibabaLoan,32,0.005,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0003,54,0.16,0.32,0.0,0.6480573710965868,0.0
2,256,2,./data/,AlibabaLoan,64,0.005,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0003,55,0.15812917594654788,0.31625835189309576,0.0,0.6501906318082789,0.0
2,256,2,./data/,AlibabaLoan,32,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,56,0.16,0.32,0.0,0.6632171387073348,0.0
2,256,2,./data/,AlibabaLoan,64,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,57,0.15812917594654788,0.31625835189309576,0.0,0.6551379811183733,0.0
2,256,2,./data/,AlibabaLoan,32,0.002,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,58,0.16,0.32,0.0,0.6539124909222949,0.0
2,256,2,./data/,AlibabaLoan,64,0.002,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,59,0.16694967303732072,0.3146067415730337,0.01929260450160772,0.6527323892519971,0.09762986435483435
2,256,2,./data/,AlibabaLoan,32,0.003,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,60,0.16,0.32,0.0,0.6534132171387073,0.0
2,256,2,./data/,AlibabaLoan,64,0.003,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,61,0.15812917594654788,0.31625835189309576,0.0,0.6520061728395061,0.0
2,256,2,./data/,AlibabaLoan,32,0.005,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,62,0.16,0.32,0.0,0.6476942628903414,0.0
2,256,2,./data/,AlibabaLoan,64,0.005,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,63,0.15812917594654788,0.31625835189309576,0.0,0.6507352941176471,0.0
2,64,2,./data/,AlibabaLoan,32,0.001,SAGE,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,64,0.16,0.32,0.0,0.6570442992011619,0.0
2,64,2,./data/,AlibabaLoan,64,0.001,SAGE,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,65,0.16694967303732072,0.3146067415730337,0.01929260450160772,0.6562273057371096,0.09762986435483435
