alpha,batch_size,cuda_id,data_dir,data_name,emb_size,lr,model,multi_relation,no_cuda,num_epochs,optimizer,rho,save_dir,seed,test_ratio,thres,train_ratio,valid_epochs,weight_decay,Configuration,F1-Macro,F1-1,F1-0,AUC,G-Mean
2,256,2,./data/,AlibabaLoan,32,0.002,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,54,0.4473684210526316,0.0,0.8947368421052632,0.5670842411038489,0.0
2,256,2,./data/,AlibabaLoan,64,0.002,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,55,0.4473684210526316,0.0,0.8947368421052632,0.5673111837327524,0.0
2,256,2,./data/,AlibabaLoan,32,0.005,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,56,0.16,0.32,0.0,0.5383759985475671,0.0
2,256,2,./data/,AlibabaLoan,64,0.005,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,57,0.16,0.32,0.0,0.5625453885257806,0.0
2,256,2,./data/,AlibabaLoan,32,0.005,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,58,0.48429378531073447,0.27555555555555555,0.6930320150659134,0.5383759985475671,0.5088183871019342
2,256,2,./data/,AlibabaLoan,64,0.005,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,59,0.4473684210526316,0.0,0.8947368421052632,0.5625453885257806,0.0
2,256,2,./data/,AlibabaLoan,32,0.001,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,60,0.16,0.32,0.0,0.5516067538126361,0.0
2,256,2,./data/,AlibabaLoan,64,0.001,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,61,0.16,0.32,0.0,0.5674473493100944,0.0
2,256,2,./data/,AlibabaLoan,32,0.001,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0005,62,0.4473684210526316,0.0,0.8947368421052632,0.5516067538126361,0.0
2,256,2,./data/,AlibabaLoan,64,0.001,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0005,63,0.4473684210526316,0.0,0.8947368421052632,0.5674473493100944,0.0
2,256,2,./data/,AlibabaLoan,32,0.002,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,64,0.16,0.32,0.0,0.5616830065359477,0.0
